nombre,sameAs,direccion,distrito,distri_url,latitud,longitud,telefono,infoUrl
Iglesia Evangelica Casa de Oracion,,calle felipe de diego 3,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.379.470.784.588.200,-3.663.021.565.402.850,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=75ab8fd21ad50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Casa de Oracion de Madrid,,calle londres 13,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),4.043.146.112.930.490,-36.694.502.641.980.300,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=644198d978d50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica China Española,,calle carolinas 10,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),40.451.241.419.899.200,-3.704.895.759.227.490,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5ff28fd21ad50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Cristo Vive,,calle talia 32,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.447.416.389.559.100,-36.142.317.394.076.200,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2224216f16350410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica de Hermanos El Shadday,,calle maria pedraza 11,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),40.453.349.071.696.200,-37.093.874.627.751.700,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=352afe5dfad50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica del Nazareno,,calle pelicano 26,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.383.690.841.533.700,-3.728.283.631.976.340,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef5dfe5dfad50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Eben Ezer Dios es amor,,avenida albufera 46,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.396.355.872.399.200,-36.658.030.852.598.100,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=61a794d12cd50410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Encuetro con Dios,,calle jose del prado y palacio 1,Moratalaz,http://dbpedia.org/resource/Moratalaz,4.040.995.541.329.680,-3.653.903.803.273.290,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0fe7b05a8350410VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Española El Salvador,,calle noviciado 5,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),404.255.730.852.911,-37.081.171.132.637.800,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5b850a47f441f010VgnVCM2000000c205a0aRCRD
Iglesia Evangelica Fuente de la Vida,,calle sierra carbonera 31,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,4.039.224.017.330.220,-3.663.983.360.780.890,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e9e95ac33d160410VgnVCM2000000c205a0aRCRD
