PK,NOMBRE,sameAs,direccion,DISTRITO,distrito_url,LATITUD,LONGITUD,TELEFONO,CONTENT-URL
3372,Parroquia San Marcos,,calle san leonardo 10,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42476160196848,-3.7111617863516715,915 471 079 ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=448a0713fb71c010VgnVCM1000000b205a0aRCRD
3620,Parroquia San Martin de Porres,,calle abegondo 28,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.47633616330272,-3.6503003188997,913 820 494,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5b44ef4d7f71c010VgnVCM1000000b205a0aRCRD
3621,Parroquia San Mateo,,avenida la verbena de la paloma 16,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.357941932775155,-3.6962447229867457,913 171 935,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ed54ef4d7f71c010VgnVCM1000000b205a0aRCRD
3622,Parroquia San Matias,,plaza iglesia 2,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.47278410477163,-3.64107636456447,917 631 662,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7074ef4d7f71c010VgnVCM1000000b205a0aRCRD
3624,Parroquia San Miguel Arcangel de Carabanchel,,calle general ricardos 21,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.39637721346998,-3.717944871579785,914 727 716,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9594ef4d7f71c010VgnVCM1000000b205a0aRCRD
3626,Parroquia San Miguel Arcangel de Chamartin,,avenida burgos 2,CHAMARTIN,http://dbpedia.org/page/Chamartin_(Madrid),40.468931638303765,-3.6768290766268428,913 020 100,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0384ef4d7f71c010VgnVCM1000000b205a0aRCRD
3625,Parroquia San Miguel Arcangel de Fuencarral,,calle islas bermudas 28,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.49408934867759,-3.688233267356295,917 340 692,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=28a4ef4d7f71c010VgnVCM1000000b205a0aRCRD
3627,Parroquia San Miguel de los Santos,,calle lopez de hoyos 39,CHAMARTIN,http://dbpedia.org/page/Chamartin_(Madrid),40.441150475172854,-3.6794627982734913,915 635 333,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bab4ef4d7f71c010VgnVCM1000000b205a0aRCRD
3369,Parroquia San Millan y San Cayetano,,calle embajadores 15,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.409461123751505,-3.705791428982776,915 270 790,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d69a0713fb71c010VgnVCM1000000b205a0aRCRD
63393,Parroquia San Nicolas de Bari de los Servitas,,plaza san nicolas 6,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.415793260849824,-3.7118688527171226,915 594 064,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7838f0bde551c010VgnVCM2000000c205a0aRCRD
3634,Parroquia San Pablo,,calle el escritor 25,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.389687015822595,-3.653542772631358,913 030 175,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dfd4ef4d7f71c010VgnVCM1000000b205a0aRCRD
3635,Parroquia San Pablo de la Cruz,,avenida madro&ntilde;os 40,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.45698546073524,-3.6388858099534422,913 002 981,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4dc4ef4d7f71c010VgnVCM1000000b205a0aRCRD
3637,Parroquia San Patricio,,calle alejandro gonzalez 12,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.42953463528204,-3.6629470987953554,917 252 230,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=62f4ef4d7f71c010VgnVCM1000000b205a0aRCRD
3641,Parroquia San Pedro Advincula,,calle sierra gorda 5,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,40.3802481264865,-3.620348016062302,913 311 222,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=48ddb069a541f010VgnVCM1000000b205a0aRCRD
3643,Parroquia San Pedro Apostol (Carabanchel),,plaza seis de diciembre 1,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.373567429555585,-3.750390601566717,915 086 959,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=830eb069a541f010VgnVCM1000000b205a0aRCRD
3642,Parroquia San Pedro Apostol. Calle Orion,,calle orion 2,Barajas (Madrid),http://dbpedia.org/resource/Barajas_(Madrid),40.47465668024863,-3.578121184801616,913 056 204,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4eedb069a541f010VgnVCM1000000b205a0aRCRD
29840,Parroquia San Pedro Martir de los Padres Dominicos,,avenida burgos 204,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.50224958387765,-3.659189517802438,913 024 246,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e953d232e91f010VgnVCM1000000b205a0aRCRD
3644,Parroquia San Pedro Nolasco,,calle do&ntilde;a francisquita 27,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.356082791035504,-3.699770291408342,913 179 572,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c91eb069a541f010VgnVCM1000000b205a0aRCRD
8174578,Parroquia San Pedro Poveda,,avenida camino de santiago 10,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.49866855024185,-3.6740241005198735,630 842 873,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4125ebdd8854f410VgnVCM2000000c205a0aRCRD
3646,Parroquia San Pedro Regalado y San Jose de Calasanz,,plaza pe&ntilde;a gudina 1,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.3867371429162,-3.6637172457005978,917 862 230,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f43eb069a541f010VgnVCM1000000b205a0aRCRD
3653,Parroquia San Pio X,,calle doctor casal 9,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,40.42673075126026,-3.733404209361858,915 472 127,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fa4eb069a541f010VgnVCM1000000b205a0aRCRD
3659,Parroquia San Rafael Arcangel,,calle isla de saipan 35,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.475748885061186,-3.7305161163525526,913 739 400,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a16eb069a541f010VgnVCM1000000b205a0aRCRD
8174571,Parroquia San Rafael Arnaiz,,calle octavio paz 2,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.48999784668903,-3.6575356472619203,917 048 661,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4742ebdd8854f410VgnVCM2000000c205a0aRCRD
3660,Parroquia San Raimundo de Penafort,,calle esteban carros 35,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.37401627968452,-3.657408165038576,917 857 017,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=997eb069a541f010VgnVCM1000000b205a0aRCRD
3661,Parroquia San Ramon Nonato,,calle melquiades biencinto 10,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.397227380925486,-3.6693349561194504,914 339 301,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7995ef4d7f71c010VgnVCM1000000b205a0aRCRD
